mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.6971012592315673,0.4447628483819775,0.07883844375610352,0.013887371786175383,600,2,3,0.9,5,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.9, 'max_depth': 5}",-5.486458057807961,-5.405681965513617,-6.101437832155042,-5.404368268446618,-5.210298221855537,-5.521648869155755,0.30382097440315425,12,-3.705357209428172,-3.9998139581155385,-4.160103759018824,-4.063356562718353,-4.2118652747351515,-4.028099352803208,0.17742643705929775
2.3215367794036865,0.6238086291498989,0.11856517791748047,0.023255834560987176,800,15,5,0.7,12,"{'n_estimators': 800, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 0.7, 'max_depth': 12}",-5.35517666854856,-5.465287014550414,-6.05108045218433,-5.37446375314832,-5.109812639188287,-5.471164105523982,0.312958922298393,7,-4.841030797490799,-4.216202749863357,-3.944950498751491,-3.6279909041133735,-3.5728880244814016,-4.040612594940084,0.46253116039444175
0.6627560138702393,0.1851188119148394,0.03148179054260254,0.0020993830297552987,250,10,1,0.5,12,"{'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 12}",-5.272431872533418,-5.526357959385223,-6.391559367307715,-5.310906812042622,-5.145239500935339,-5.529299102440863,0.44825866606347353,13,-3.9110695357131426,-3.3943321668091513,-3.1982970199033183,-2.9159157139873564,-2.920374887510197,-3.2679978647846335,0.36855482979745524
1.414431095123291,0.4426374828443616,0.05854496955871582,0.0118604418964045,400,2,5,1.0,16,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 1.0, 'max_depth': 16}",-5.417668031378836,-5.556300455050898,-6.154084081805896,-5.402531829720176,-5.166036610885537,-5.5393242017682685,0.33198611586353866,14,-4.166068313280198,-3.7330908475901095,-3.517637225464589,-3.258645616157195,-3.1845369184649983,-3.5719957841914187,0.3550046035231954
0.7253706932067872,0.2159029682180192,0.03686676025390625,0.007979459257079916,250,10,2,1.0,5,"{'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 5}",-5.500951266353105,-5.528305785684057,-6.173939378222172,-5.439497747989396,-5.224351258278042,-5.573409087305354,0.3186517499545801,19,-3.981526156921005,-4.203145735360367,-4.264308289389466,-4.115888342343951,-4.243201022447003,-4.161613909292358,0.10339237045343382
1.1627980709075927,0.3064251046367045,0.06458277702331543,0.011091348110973604,400,2,8,0.5,,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': None}",-5.185972118728736,-5.398957273112998,-5.973597696560648,-5.282091128257359,-5.092737453154548,-5.386671133962858,0.3105633011548223,1,-5.33028114129006,-4.5908039489025665,-4.326836355247777,-3.9884042567939457,-3.9311991930186734,-4.433504979050605,0.5080855050118944
1.5795040130615234,0.398545919305425,0.07561860084533692,0.001151912841030305,600,15,2,0.5,,"{'n_estimators': 600, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': None}",-5.358651502210093,-5.469595356611522,-6.203474679652017,-5.340098763014234,-5.088458346985961,-5.492055729694765,0.3769349667197897,9,-4.700818493761513,-4.027759718820073,-3.7171353031887455,-3.4004389645634645,-3.3334054613238577,-3.8359115883315313,0.4982220950292015
0.9553677082061768,0.2832761831553544,0.03607220649719238,0.006598128292781409,250,10,2,1.0,8,"{'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 8}",-5.558237749725868,-5.645531385620111,-6.341656448057908,-5.413776467490495,-5.212359889806067,-5.63431238814009,0.3828652083338,24,-3.7965024767369346,-3.5037947656083395,-3.4194839884084165,-3.239728368766675,-3.304538667599559,-3.452809653423985,0.19453676131701392
1.9167510986328125,0.2599863252514757,0.10046572685241699,0.012254047647816582,800,15,3,0.5,5,"{'n_estimators': 800, 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': 5}",-5.353225321719799,-5.416159990694581,-6.084909053854198,-5.312654337407747,-5.147036530488481,-5.462797046832962,0.32355891707854306,6,-4.8463559644027905,-4.528254556962829,-4.485436970611066,-4.305488564180005,-4.394440047325531,-4.511995220696445,0.18397338479635889
2.2742190837860106,0.7972061485005184,0.08512611389160156,0.009313776067755549,600,15,1,0.9,12,"{'n_estimators': 600, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 0.9, 'max_depth': 12}",-5.487013704472428,-5.663897227101358,-6.244765424026302,-5.432133496709358,-5.214076330433794,-5.608377236548648,0.3490949904612259,22,-4.443834754706416,-3.8423716366010887,-3.5540882620583907,-3.2619319256033443,-3.200178127424755,-3.6604809412787995,0.4536004458961515
