mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.011200761795043946,0.0008112048782690537,0.003432750701904297,0.0003998573425495078,0.31622776601683794,{'model__alpha': np.float64(0.31622776601683794)},-11.137491971298891,-12.21119117337918,-5.481837395340002,-5.290720358778281,-5.567314419356695,-7.93771106363061,3.071087287032328,15,-6.982783779071074,-5.964218530433999,-5.667039055359017,-5.476949232031237,-5.431056209758873,-5.90440936133084,0.5708937820552089
0.010781145095825196,0.001928767218034596,0.0031095027923583986,0.0006632325513673178,0.5623413251903491,{'model__alpha': np.float64(0.5623413251903491)},-7.246008704870152,-8.683318938691508,-5.448308106012764,-5.278045081834026,-5.566728232449095,-6.444481812771509,1.3250075535061248,14,-7.016624150348887,-5.970639351722131,-5.67104101475728,-5.479352012898813,-5.431223495976169,-5.913776005140656,0.5830967117496689
0.011245059967041015,0.0009612653976328868,0.0032323360443115234,0.0008785649212600138,1.0,{'model__alpha': np.float64(1.0)},-5.714604907491809,-6.744939600687322,-5.393149978511653,-5.2633669811936326,-5.565302375821872,-5.736272768741259,0.5269691228915092,13,-7.045644468214436,-5.979660517832559,-5.676760670378255,-5.482403800361733,-5.43149832855183,-5.923193557067763,0.5932745638566398
0.011038589477539062,0.0010188281350416411,0.0032274723052978516,0.0007704594270048049,1.7782794100389228,{'model__alpha': np.float64(1.7782794100389228)},-5.745471757791197,-5.865054723097829,-5.313843449638307,-5.246438840902563,-5.5615147874460265,-5.546464711775185,0.23893851897394403,11,-7.077563476289123,-5.99998962800938,-5.685102831490733,-5.486353079130237,-5.432065297807768,-5.936214862545447,0.6043746418816262
0.01114206314086914,0.0008704911108022026,0.0037014961242675783,0.0009013982429383972,3.1622776601683795,{'model__alpha': np.float64(3.1622776601683795)},-6.039904727659454,-5.521256738029615,-5.218789433253392,-5.2286046228889225,-5.55343249618722,-5.512397603603722,0.2989215034757867,10,-7.107762391180286,-6.028862435007347,-5.696299063388753,-5.491772316082092,-5.43358165193084,-5.951655571517863,0.6144337261690964
0.010350656509399415,0.0005591477668838628,0.0032137393951416015,0.000956576385454101,5.623413251903491,{'model__alpha': np.float64(5.623413251903491)},-6.120517925884891,-5.351356340235691,-5.109911703654021,-5.212272417701026,-5.538780077349958,-5.466567692965118,0.3572138779849493,8,-7.139126560669884,-6.061860256799547,-5.718279794212638,-5.500285818869705,-5.436573790198707,-5.971225244150096,0.6235103384526102
0.010333442687988281,0.0016945590377479877,0.0028834819793701174,0.0001909698826538533,10.0,{'model__alpha': np.float64(10.0)},-6.0511092561230955,-5.320173725406676,-4.996430007966172,-5.204896324095065,-5.515774268607658,-5.4176767164397335,0.35863380490344354,7,-7.184345897420345,-6.104484419735747,-5.746336343102988,-5.5143341698212724,-5.442145544305426,-5.998329274877156,0.6363955350666101
0.010756683349609376,0.0009530230969007413,0.002962350845336914,0.0006898213659678787,17.78279410038923,{'model__alpha': np.float64(17.78279410038923)},-6.005986311575666,-5.322445629843912,-4.895193989599727,-5.208566063317658,-5.48325362565862,-5.383089123999117,0.3661178575123169,5,-7.262949955053569,-6.1528554431559765,-5.77951102038383,-5.534360840441167,-5.452911195645959,-6.0365176909361,0.6597698149524682
0.009623384475708008,0.0018173878880017684,0.003282022476196289,0.0007579417211657892,31.622776601683793,{'model__alpha': np.float64(31.622776601683793)},-5.982190623306218,-5.3233101296349155,-4.824878571417541,-5.216307931223321,-5.446418266839271,-5.3586211044842536,0.37494753829151284,4,-7.402729507793047,-6.209554165789142,-5.82094911880625,-5.561971627195245,-5.474102426754948,-6.093861369267726,0.7025680847024178
0.010821723937988281,0.000938601635295748,0.0028789997100830077,0.00046067377287078466,56.23413251903491,{'model__alpha': np.float64(56.23413251903491)},-5.979850529877975,-5.318717691737052,-4.81049042758367,-5.213866334605638,-5.41322823242533,-5.347230643245933,0.3771611562904786,1,-7.581693669495059,-6.285304447108966,-5.881861836827759,-5.599455112302906,-5.506318248803424,-6.170926662907623,0.7556703481439142
0.011690855026245117,0.0013967599143134017,0.0030561447143554687,0.0006632614201562005,100.0,{'model__alpha': np.float64(100.0)},-5.9760237764007265,-5.33085852736415,-4.844727007796873,-5.2084895993982645,-5.387611273027383,-5.349542036797478,0.3657900255417926,2,-7.798709667365069,-6.382847105410839,-5.953215628858037,-5.648824062764898,-5.550931957352108,-6.26690568435019,0.8188907833289503
0.011097574234008789,0.0012956402725713824,0.0027740478515625,0.0007441058047329054,177.82794100389228,{'model__alpha': np.float64(177.82794100389228)},-5.904028091898912,-5.3541240831016355,-4.94710390172082,-5.188475374703659,-5.362032676901694,-5.351152825665344,0.31480716177959983,3,-8.027307372633963,-6.495526437576743,-6.041739509107253,-5.711796026822533,-5.603825301438214,-6.376038929515741,0.8820718065410675
0.010346555709838867,0.0015284586318634287,0.003763580322265625,0.0013193382817367945,316.22776601683796,{'model__alpha': np.float64(316.22776601683796)},-5.802124484439576,-5.43380958360975,-5.154557808817814,-5.2057966209475435,-5.3241290887528665,-5.38408351731351,0.2303448430702488,6,-8.293424532100941,-6.625429587277218,-6.15575409840328,-5.804977463126771,-5.672648551768458,-6.510446846535333,0.9505398925991497
0.010264110565185548,0.00192383358211707,0.003318643569946289,0.0009519030525297713,562.341325190349,{'model__alpha': np.float64(562.341325190349)},-5.7479927117157965,-5.6146775416039585,-5.539218765761485,-5.253475233849631,-5.265473951496189,-5.4841676408854125,0.19530132870872938,9,-8.675983939486775,-6.7964208472471395,-6.296769555965015,-5.92628438279853,-5.7700647638742755,-6.693104697874347,1.052576075504552
0.01016860008239746,0.0005179963145920089,0.0024925708770751954,0.000923501218411911,1000.0,{'model__alpha': np.float64(1000.0)},-5.9611784073674485,-5.942614769155957,-6.126328126340626,-5.313064620705538,-5.208543590512873,-5.710345902816489,0.3740441042569688,12,-9.174494674822894,-7.1098279419321475,-6.5201568958532095,-6.104829465473632,-5.898376158144485,-6.9615370272452735,1.1813760659267205
